Dataset: config loaded from config.yaml
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Dataset: Swap has not happened, hanging
Epoch [1/10000], Batch [1/10], Loss: 1.2699
Epoch [1/10000], Batch [2/10], Loss: 1.2319
Epoch [1/10000], Batch [3/10], Loss: 1.1639
Epoch [1/10000], Batch [4/10], Loss: 1.1336
Epoch [1/10000], Batch [5/10], Loss: 1.1405
Epoch [1/10000], Batch [6/10], Loss: 1.0633
Epoch [1/10000], Batch [7/10], Loss: 1.0911
Epoch [1/10000], Batch [8/10], Loss: 1.0809
Epoch [1/10000], Batch [9/10], Loss: 1.0884
Epoch [1/10000], Batch [10/10], Loss: 1.0847
Epoch [2/10000], Batch [1/10], Loss: 1.0346
Epoch [2/10000], Batch [2/10], Loss: 1.0410
Epoch [2/10000], Batch [3/10], Loss: 1.0489
Epoch [2/10000], Batch [4/10], Loss: 1.0334
Epoch [2/10000], Batch [5/10], Loss: 1.0676
Epoch [2/10000], Batch [6/10], Loss: 1.0000
Epoch [2/10000], Batch [7/10], Loss: 1.0237
Epoch [2/10000], Batch [8/10], Loss: 0.9929
Epoch [2/10000], Batch [9/10], Loss: 1.0138
Epoch [2/10000], Batch [10/10], Loss: 1.0407
Epoch [3/10000], Batch [1/10], Loss: 0.9946
Epoch [3/10000], Batch [2/10], Loss: 1.0021
Epoch [3/10000], Batch [3/10], Loss: 1.0173
Epoch [3/10000], Batch [4/10], Loss: 1.0084
Epoch [3/10000], Batch [5/10], Loss: 1.0487
Epoch [3/10000], Batch [6/10], Loss: 0.9760
Epoch [3/10000], Batch [7/10], Loss: 1.0015
Epoch [3/10000], Batch [8/10], Loss: 0.9741
Epoch [3/10000], Batch [9/10], Loss: 1.0018
Epoch [3/10000], Batch [10/10], Loss: 1.0288
Epoch [4/10000], Batch [1/10], Loss: 0.9682
Epoch [4/10000], Batch [2/10], Loss: 0.9810
Epoch [4/10000], Batch [3/10], Loss: 1.0086
Epoch [4/10000], Batch [4/10], Loss: 0.9966
Epoch [4/10000], Batch [5/10], Loss: 1.0403
Epoch [4/10000], Batch [6/10], Loss: 0.9599
Epoch [4/10000], Batch [7/10], Loss: 0.9692
Epoch [4/10000], Batch [8/10], Loss: 0.9328
Epoch [4/10000], Batch [9/10], Loss: 0.9602
Epoch [4/10000], Batch [10/10], Loss: 0.9886
Epoch [5/10000], Batch [1/10], Loss: 1.0080
Epoch [5/10000], Batch [2/10], Loss: 0.9412
Epoch [5/10000], Batch [3/10], Loss: 0.9626
Epoch [5/10000], Batch [4/10], Loss: 1.0197
Epoch [5/10000], Batch [5/10], Loss: 1.0195
Epoch [5/10000], Batch [6/10], Loss: 0.9786
Epoch [5/10000], Batch [7/10], Loss: 0.9508
Epoch [5/10000], Batch [8/10], Loss: 0.9307
Epoch [5/10000], Batch [9/10], Loss: 0.9551
Epoch [5/10000], Batch [10/10], Loss: 0.9815
Epoch [6/10000], Batch [1/10], Loss: 1.0019
Epoch [6/10000], Batch [2/10], Loss: 0.9371
Epoch [6/10000], Batch [3/10], Loss: 0.9650
Epoch [6/10000], Batch [4/10], Loss: 1.0171
Epoch [6/10000], Batch [5/10], Loss: 1.0165
Epoch [6/10000], Batch [6/10], Loss: 0.9729
Epoch [6/10000], Batch [7/10], Loss: 0.9486
Epoch [6/10000], Batch [8/10], Loss: 0.9261
Epoch [6/10000], Batch [9/10], Loss: 0.9510
Epoch [6/10000], Batch [10/10], Loss: 0.9776
